Date,^AXJO,^GSPC,^HSI
1990-05-29,,360.6499938964844,3048.0
1990-05-30,,360.8599853515625,3083.0
1990-05-31,,361.2300109863281,3132.0
1990-06-01,,363.1600036621094,3159.0
1990-06-04,,367.3999938964844,3153.0
1990-06-05,,366.6400146484375,3159.0
1990-06-06,,364.9599914550781,3172.0
1990-06-07,,363.1499938964844,3145.0
1990-06-08,,358.7099914550781,3174.0
1990-06-11,,361.6300048828125,3154.0
1990-06-12,,366.25,3203.0
1990-06-13,,364.8999938964844,3184.0
1990-06-14,,362.8999938964844,3191.0
1990-06-15,,362.9100036621094,3201.0
1990-06-18,,356.8800048828125,
1990-06-19,,358.4700012207031,3229.0
1990-06-20,,359.1000061035156,3234.0
1990-06-21,,360.4700012207031,3246.0
1990-06-22,,355.42999267578125,3250.0
1990-06-25,,352.30999755859375,3276.0
1990-06-26,,352.05999755859375,3292.0
1990-06-27,,355.1400146484375,3284.0
1990-06-28,,357.6300048828125,3273.0
1990-06-29,,358.0199890136719,3278.0
1990-07-02,,359.5400085449219,3319.0
1990-07-03,,360.1600036621094,3356.0
1990-07-04,,,3363.0
1990-07-05,,355.67999267578125,3356.0
1990-07-06,,358.4200134277344,3357.0
1990-07-09,,359.5199890136719,3385.0
1990-07-10,,356.489990234375,3408.0
1990-07-11,,361.2300109863281,3440.0
1990-07-12,,365.44000244140625,3468.0
1990-07-13,,367.30999755859375,3507.0
1990-07-16,,368.95001220703125,3488.0
1990-07-17,,367.5199890136719,3463.0
1990-07-18,,364.2200012207031,3528.0
1990-07-19,,365.32000732421875,3523.0
1990-07-20,,361.6099853515625,3540.0
1990-07-23,,355.30999755859375,3559.0
1990-07-24,,355.7900085449219,3495.0
1990-07-25,,357.0899963378906,3520.0
1990-07-26,,355.9100036621094,3483.0
1990-07-27,,353.44000244140625,3485.0
1990-07-30,,355.54998779296875,3445.0
1990-07-31,,356.1499938964844,3438.0
1990-08-01,,355.5199890136719,3468.0
1990-08-02,,351.4800109863281,3415.0
1990-08-03,,344.8599853515625,3356.0
1990-08-06,,334.42999267578125,3107.0
1990-08-07,,334.8299865722656,3098.0
1990-08-08,,338.3500061035156,3145.0
1990-08-09,,339.94000244140625,3091.0
1990-08-10,,335.5199890136719,3078.0
1990-08-13,,338.8399963378906,3040.0
1990-08-14,,339.3900146484375,3067.0
1990-08-15,,340.05999755859375,3178.0
1990-08-16,,332.3900146484375,3183.0
1990-08-17,,327.8299865722656,3122.0
1990-08-20,,328.510009765625,3052.0
1990-08-21,,321.8599853515625,3040.0
1990-08-22,,316.54998779296875,2954.0
1990-08-23,,307.05999755859375,2871.0
1990-08-24,,311.510009765625,2918.0
1990-08-27,,321.44000244140625,
1990-08-28,,321.3399963378906,3078.0
1990-08-29,,324.19000244140625,3015.0
1990-08-30,,318.7099914550781,3064.0
1990-08-31,,322.55999755859375,3087.0
1990-09-03,,,3066.0
1990-09-04,,323.0899963378906,3054.0
1990-09-05,,324.3900146484375,3039.0
1990-09-06,,320.4599914550781,3032.0
1990-09-07,,323.3999938964844,3047.0
1990-09-10,,321.6300048828125,3087.0
1990-09-11,,321.0400085449219,3083.0
1990-09-12,,322.5400085449219,3105.0
1990-09-13,,318.6499938964844,3093.0
1990-09-14,,316.8299865722656,3062.0
1990-09-17,,317.7699890136719,3019.0
1990-09-18,,318.6000061035156,2996.0
1990-09-19,,316.6000061035156,2980.0
1990-09-20,,311.4800109863281,2984.0
1990-09-21,,311.32000732421875,2931.0
1990-09-24,,304.5899963378906,2861.0
1990-09-25,,308.260009765625,2807.0
1990-09-26,,305.05999755859375,2778.0
1990-09-27,,300.9700012207031,2767.0
1990-09-28,,306.04998779296875,2760.0
1990-10-01,,314.94000244140625,2791.0
1990-10-02,,315.2099914550781,2905.0
1990-10-03,,311.3999938964844,2862.0
1990-10-04,,312.69000244140625,
1990-10-05,,311.5,2850.0
1990-10-08,,313.4800109863281,2925.0
1990-10-09,,305.1000061035156,2913.0
1990-10-10,,300.3900146484375,2872.0
1990-10-11,,295.4599914550781,2884.0
1990-10-12,,300.0299987792969,2915.0
1990-10-15,,303.2300109863281,2916.0
1990-10-16,,298.9200134277344,2949.0
1990-10-17,,298.760009765625,2958.0
1990-10-18,,305.739990234375,2950.0
1990-10-19,,312.4800109863281,2991.0
1990-10-22,,314.760009765625,3015.0
1990-10-23,,312.3599853515625,3081.0
1990-10-24,,312.6000061035156,3042.0
1990-10-25,,310.1700134277344,3050.0
1990-10-26,,304.7099914550781,
1990-10-29,,301.8800048828125,3063.0
1990-10-30,,304.05999755859375,3011.0
1990-10-31,,304.0,2990.0
1990-11-01,,307.0199890136719,2968.0
1990-11-02,,311.8500061035156,2978.0
1990-11-05,,314.5899963378906,2967.0
1990-11-06,,311.6199951171875,2966.0
1990-11-07,,306.010009765625,2955.0
1990-11-08,,307.6099853515625,2932.0
1990-11-09,,313.739990234375,2932.0
1990-11-12,,319.4800109863281,2949.0
1990-11-13,,317.6700134277344,2998.0
1990-11-14,,320.3999938964844,3006.0
1990-11-15,,317.0199890136719,2990.0
1990-11-16,,317.1199951171875,3008.0
1990-11-19,,319.3399963378906,3042.0
1990-11-20,,315.30999755859375,3031.0
1990-11-21,,316.0299987792969,3013.0
1990-11-22,,,3023.0
1990-11-23,,315.1000061035156,3016.0
1990-11-26,,316.510009765625,2995.0
1990-11-27,,318.1000061035156,2998.0
1990-11-28,,317.95001220703125,2986.0
1990-11-29,,316.4200134277344,2978.0
1990-11-30,,322.2200012207031,2965.0
1990-12-03,,324.1000061035156,3020.0
1990-12-04,,326.3500061035156,3020.0
1990-12-05,,329.9200134277344,3066.0
1990-12-06,,329.07000732421875,3126.0
1990-12-07,,327.75,3163.0
1990-12-10,,328.8900146484375,3149.0
1990-12-11,,326.44000244140625,3144.0
1990-12-12,,330.19000244140625,3160.0
1990-12-13,,329.3399963378906,3150.0
1990-12-14,,326.82000732421875,3125.0
1990-12-17,,326.0199890136719,3051.0
1990-12-18,,330.04998779296875,3066.0
1990-12-19,,330.20001220703125,3083.0
1990-12-20,,330.1199951171875,3078.0
1990-12-21,,331.75,3079.0
1990-12-24,,329.8999938964844,3060.0
1990-12-26,,330.8500061035156,
1990-12-27,,328.2900085449219,3066.0
1990-12-28,,328.7200012207031,3057.0
1990-12-31,,330.2200012207031,3024.0
1991-01-02,,326.45001220703125,3031.0
1991-01-03,,321.9100036621094,3004.0
1991-01-04,,321.0,3046.0
1991-01-07,,315.44000244140625,3026.0
1991-01-08,,314.8999938964844,3009.0
1991-01-09,,311.489990234375,3027.0
1991-01-10,,314.5299987792969,3035.0
1991-01-11,,315.2300109863281,3058.0
1991-01-14,,312.489990234375,3037.0
1991-01-15,,313.7300109863281,3000.0
1991-01-16,,316.1700134277344,2984.0
1991-01-17,,327.9700012207031,3087.0
1991-01-18,,332.2300109863281,3072.0
1991-01-21,,331.05999755859375,3066.0
1991-01-22,,328.30999755859375,3062.0
1991-01-23,,330.2099914550781,3090.0
